"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","15.1.1","AG_LND_FRST",4,"Afghanistan",2000,"2.06782","2000","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"2","15.1.1","AG_LND_FRST",4,"Afghanistan",2005,"2.06782","2005","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"3","15.1.1","AG_LND_FRST",4,"Afghanistan",2010,"2.06782","2010","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"4","15.1.1","AG_LND_FRST",4,"Afghanistan",2015,"2.06782","2015","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"5","15.1.1","AG_LND_FRST",8,"Albania",2000,"28.07664","2000","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",6,"ALB","AL","Albania"
"6","15.1.1","AG_LND_FRST",8,"Albania",2005,"28.55474","2005","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",6,"ALB","AL","Albania"
"7","15.1.1","AG_LND_FRST",8,"Albania",2010,"28.33212","2010","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",6,"ALB","AL","Albania"
"8","15.1.1","AG_LND_FRST",8,"Albania",2015,"28.15693","2015","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",6,"ALB","AL","Albania"
"9","15.1.1","AG_LND_FRST",12,"Algeria",2000,"0.66296","2000","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",65,"DZA","DZ","Algeria"
"10","15.1.1","AG_LND_FRST",12,"Algeria",2005,"0.64491","2005","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",65,"DZA","DZ","Algeria"
"11","15.1.1","AG_LND_FRST",12,"Algeria",2010,"0.80529","2010","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",65,"DZA","DZ","Algeria"
"12","15.1.1","AG_LND_FRST",12,"Algeria",2015,"0.82125","2015","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",65,"DZA","DZ","Algeria"
"13","15.1.1","AG_LND_FRST",16,"American Samoa",2000,"90.25","2000","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",12,"ASM","AS","American Samoa"
"14","15.1.1","AG_LND_FRST",16,"American Samoa",2005,"89.405","2005","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",12,"ASM","AS","American Samoa"
"15","15.1.1","AG_LND_FRST",16,"American Samoa",2010,"88.56","2010","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",12,"ASM","AS","American Samoa"
"16","15.1.1","AG_LND_FRST",16,"American Samoa",2015,"87.715","2015","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",12,"ASM","AS","American Samoa"
"17","15.1.1","AG_LND_FRST",20,"Andorra",2000,"34.04255","2000","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",7,"AND","AD","Andorra"
"18","15.1.1","AG_LND_FRST",20,"Andorra",2005,"34.04255","2005","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",7,"AND","AD","Andorra"
"19","15.1.1","AG_LND_FRST",20,"Andorra",2010,"34.04255","2010","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",7,"AND","AD","Andorra"
"20","15.1.1","AG_LND_FRST",20,"Andorra",2015,"34.04255","2015","FAO, Global Forest Resources Assessment and FAOSTAT","FAO Estimate","E","PERCENT","","","E","G","","","PERCENT",7,"AND","AD","Andorra"
"21","15.1.1","AG_LND_FRST",24,"Angola",2000,"47.90888","2000","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",3,"AGO","AO","Angola"
"22","15.1.1","AG_LND_FRST",24,"Angola",2005,"47.40836","2005","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",3,"AGO","AO","Angola"
"23","15.1.1","AG_LND_FRST",24,"Angola",2010,"46.90784","2010","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",3,"AGO","AO","Angola"
"24","15.1.1","AG_LND_FRST",24,"Angola",2015,"46.40732","2015","FAO, Global Forest Resources Assessment and FAOSTAT","Official country data submitted to FAO","C","PERCENT","","","C","G","","","PERCENT",3,"AGO","AO","Angola"
